path	node	rank
Archaea	Archaea	domain
Archaea;Aenigmarchaeota	Aenigmarchaeota	phylum
Archaea;Aenigmarchaeota;Aenigmarchaeia	Aenigmarchaeia	class
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales	Aenigmarchaeales	order
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum	Candidatus Aenigmarchaeum	genus
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG)	Deep Sea Euryarchaeotic Group(DSEG)	class
Archaea;Altiarchaeota	Altiarchaeota	phylum
Archaea;Altiarchaeota;Altiarchaeia	Altiarchaeia	class
Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales	Altiarchaeales	order
Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae	Altiarchaeaceae	family
Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum	Candidatus Altiarchaeum	genus
Archaea;Asgardarchaeota	Asgardarchaeota	phylum
Archaea;Asgardarchaeota;Heimdallarchaeia	Heimdallarchaeia	class
Archaea;Asgardarchaeota;Lokiarchaeia	Lokiarchaeia	class
Archaea;Asgardarchaeota;Odinarchaeia	Odinarchaeia	class
Archaea;Crenarchaeota	Crenarchaeota	phylum
Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	class
Archaea;Crenarchaeota;Methanomethylicia	Methanomethylicia	class
Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales	Methanomethyliales	order
Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae	Methanomethyliaceae	family
Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus	Candidatus Methanomethylicus	genus
Archaea;Crenarchaeota;Nitrososphaeria	Nitrososphaeria	class
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales	Caldiarchaeales	order
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae	Caldiarchaeaceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum	Candidatus Caldiarchaeum	genus
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae	Geothermarchaeaceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG)	Terrestrial Hot Spring Gp(THSCG)	family
Archaea;Crenarchaeota;Nitrososphaeria;Group 1.1c	Group 1.1c	order
Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A	Marine Benthic Group A	order
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales	Nitrosocaldales	order
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae	Nitrosocaldaceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus	Candidatus Nitrosocaldus	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales	Nitrosopumilales	order
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae	Nitrosopumilaceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus	Candidatus Nitrosopumilus	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosotenuis	Candidatus Nitrosotenuis	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum	Cenarchaeum	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum	Nitrosarchaeum	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales	Nitrososphaerales	order
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae	Nitrososphaeraceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus	Candidatus Nitrocosmicus	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera	Candidatus Nitrososphaera	genus
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales	Nitrosotaleales	order
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae	Nitrosotaleaceae	family
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Candidatus Nitrosotalea	Candidatus Nitrosotalea	genus
Archaea;Crenarchaeota;Nitrososphaeria;SCGC AB-179-E04	SCGC AB-179-E04	order
Archaea;Crenarchaeota;Nitrososphaeria;uncultured	uncultured	order
Archaea;Crenarchaeota;Thermoprotei	Thermoprotei	class
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales	Desulfurococcales	order
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae	Acidilobaceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus	Acidilobus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Aeropyrum	Aeropyrum	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Caldisphaera	Caldisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Stetteria	Stetteria	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Thermodiscus	Thermodiscus	genus
